SID,Last Name,First Name,Visit Type,Duration,
12345678,Sample,John,test type,13,
12345678,Sample,John,test type,3,
12345678,Sample,John,test type,0,
12345678,Sample,John,test type,0,
12345678,Sample,John,test type,0,
33333333,Demo,Jess,test type,0,
12345678,Sample,John,test type,2,
12345678,Sample,John,test type,6,
12345678,Sample,John,test type,2,
12345678,Sample,John,test type,0,
12345678,Sample,John,test type,0,
33333333,Demo,Jess,test type,0,
12345678,Sample,John,test type,2,
12345678,Sample,John,test type,2,
33333333,Demo,Jess,test type,4,
12345678,Sample,John,test type,14,
12345678,Sample,John,test type,4,
33333333,Demo,Jess,test type,0,
12345678,Sample,John,test type,0,
12345678,Sample,John,test type,0,
12345678,Sample,John,test type,9,
33333333,Demo,Jess,test type,2614,
12345678,Sample,John,test type,0,
12345678,Sample,John,test type,0,
87654321,Jones,Barnaby,test type,3,
87654321,Jones,Barnaby,test type,3,
87654321,Jones,Barnaby,test type,0,
12345678,Sample,John,test type,0,
33333333,Demo,Jess,test type,0,
12345678,Sample,John,test type,0,
12345678,Sample,John,test type,67,
12345678,Sample,John,test type,67,
33333333,Demo,Jess,test type,0,
87654321,Jones,Barnaby,test type,101,
12345678,Sample,John,test type,37,
33333333,Demo,Jess,test type,28,
